,2009-4,2010-4,2011-4,2013-2,2013-4,2015-4,2016-4,2017-2,2017-4,2018-2,2018-4,2019-2,2019-4,2020-2
Нийт хөрөнгө,58835211819.0,118561917691.0,115497928705.0,71291890200.0,112335058100.0,56971118000.0,147687060000.0,169888202800.0,272838804200.0,145907092400.0,157594846500.0,144531117100.0,122265515100.0,105151065500.0
Өр төлбөрийн нийт дүн,5918678602.0,18900420980.0,5822301203.0,17418753800.0,17446967900.0,28370405300.0,68678288800.0,85825887600.0,105891547200.0,86626387900.0,67156994000.0,77316082600.0,32736845700.0,54948271700.0
Эзэмшигчдийн өмчийн дүн,52916533217.0,99661496711.0,109675627502.0,53873136400.0,94888090200.0,28600712700.0,79008771200.0,84062315200.0,166947257000.0,59280704500.0,90437852500.0,67215034500.0,89528669400.0,50202793800.0
Нийт хувьцааны тоо ширхэг,526652.0,526652.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0,52665200.0
Нийт борлуулалтын орлого,0.0,0.0,0.0,64294726800.0,161746953300.0,25322855500.0,176544410800.0,255013744000.0,427930350000.0,90493295100.0,226360600600.0,123729621600.0,263521783200.0,91686851900.0
Борлуулсан бүтээгдэхүүний өртөг,39939719186.0,62965033145.0,88055570875.0,38403760400.0,78786683800.0,22711324200.0,108982341200.0,170582183900.0,233763614600.0,61148096800.0,159581281300.0,92918095600.0,201116418300.0,85836594100.0
Нийт ашиг,55496543483.0,107503757806.0,105948974895.0,25439691400.0,82176823300.0,639209900.0,70073490200.0,77380666900.0,189378004000.0,25846342000.0,68680586500.0,29945199100.0,62663914000.0,4248462900.0
Цэвэр ашиг,42752748558.0,76525701226.0,80057983480.0,19588854000.0,62096483900.0,572070400.0,54042354900.0,57189842600.0,141054644100.0,19256579500.0,52858107900.0,23013969300.0,48062652700.0,3912236500.0
Ногдол ашиг /энгийн/,0.0,526652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ногдол ашиг /давуу эрхийн/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нэгж хувьцааны дансны үнэ,100477.0,189236.0,2083.0,1023.0,1802.0,543.0,1500.0,1596.0,3170.0,1126.0,1717.0,1276.0,1700.0,953.0
Нийт хөрөнгийн өгөөж /ROA/,0.7267,0.6454,0.6932,0.2748,0.5528,0.01,0.3659,0.3366,0.517,0.132,0.3354,0.1592,0.3931,0.0372
Хувь нийлүүлсэн хөрөнгийн өгөөж /ROE/ /ROE/,0.8079,0.7679,0.73,0.3636,0.6544,0.02,0.684,0.6803,0.8449,0.3248,0.5845,0.3424,0.5368,0.0779
Нийт хөрөнгийн эргэц /ROTA/,0.9433,0.9067,0.9173,0.3568,0.7315,0.0112,0.4745,0.4555,0.6941,0.1771,0.4358,0.2072,0.5125,0.0404
Нэгж хувьцааны өгөөж /EPS/,81178.3655,145306.0109,1520.1306,371.9506,1179.08,10.8624,1026.1492,1085.9133,2678.3273,365.6414,1003.6629,436.9863,912.6074,74.285
Үнэ ашгийн харьцаа (P/E Ratio),81178.3655,145306.0109,1520.1306,8.3344,4.2406,128.2406,4.3756,6.1009,3.8307,21.5648,6.6706,15.3437,7.0731,75.1834
